"unique_key","created_date","closed_date","agency","agency_name","complaint_type","descriptor","location_type","incident_zip","incident_address","street_name","cross_street_1","cross_street_2","intersection_street_1","intersection_street_2","address_type","city","landmark","facility_type","status","due_date","resolution_description","resolution_action_updated_date","community_board","bbl","borough","x_coordinate_state_plane","y_coordinate_state_plane","open_data_channel_type","park_facility_name","park_borough","vehicle_type","taxi_company_borough","taxi_pick_up_location","bridge_highway_name","bridge_highway_direction","road_ramp","bridge_highway_segment","latitude","longitude","location"
"60865813","2024-04-16T01:18:44.000",,"DOHMH","Department of Health and Mental Hygiene","Rodent","Rat Sighting","Construction Site","11377","42-37 64 STREET","64 STREET","HICKS DRIVE","43 AVENUE","HICKS DRIVE","43 AVENUE","ADDRESS","WOODSIDE","64 STREET",,"In Progress",,,,"02 QUEENS","4013410003","QUEENS","1011670","209887","MOBILE","Unspecified","QUEENS",,,,,,,,"40.74272542831455","-73.901047648912","
,  
(40.74272542831455, -73.901047648912)"
"60868263","2024-04-16T01:18:30.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Talking","Street/Sidewalk","10025","698 AMSTERDAM AVENUE","AMSTERDAM AVENUE","WEST   93 STREET","WEST   94 STREET","WEST   93 STREET","WEST   94 STREET","ADDRESS","NEW YORK","AMSTERDAM AVENUE",,"In Progress",,,"2024-04-16T01:32:55.000","07 MANHATTAN","1012410035","MANHATTAN","992173","228069","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.79266925656639","-73.97138630643339","
,  
(40.79266925656639, -73.97138630643339)"
"60877404","2024-04-16T01:18:27.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Talking","Street/Sidewalk","10029","142 EAST   98 STREET","EAST   98 STREET","LEXINGTON AVENUE","3 AVENUE","LEXINGTON AVENUE","3 AVENUE","ADDRESS","NEW YORK","EAST   98 STREET",,"In Progress",,,,"11 MANHATTAN","1016250048","MANHATTAN","998183","226017","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.78702963676731","-73.94968561937203","
,  
(40.78702963676731, -73.94968561937203)"
"60870315","2024-04-16T01:18:01.000",,"NYPD","New York City Police Department","Abandoned Vehicle","With License Plate","Street/Sidewalk","11219","5919 14 AVENUE","14 AVENUE","59 STREET","60 STREET","59 STREET","60 STREET","ADDRESS","BROOKLYN","14 AVENUE",,"In Progress",,,,"12 BROOKLYN","3057130001","BROOKLYN","985388","168048","MOBILE","Unspecified","BROOKLYN","Car",,,,,,,"40.627929392384544","-73.99590028954957","
,  
(40.627929392384544, -73.99590028954957)"
"60877364","2024-04-16T01:17:55.000",,"NYPD","New York City Police Department","Noise - Commercial","Loud Music/Party","Club/Bar/Restaurant","10460","806 EAST TREMONT AVENUE","EAST TREMONT AVENUE","MAPES AVENUE","MARMION AVENUE","MAPES AVENUE","MARMION AVENUE","ADDRESS","BRONX","EAST TREMONT AVENUE",,"In Progress",,,,"06 BRONX","2029560023","BRONX","1015344","246670","ONLINE","Unspecified","BRONX",,,,,,,,"40.84367257732565","-73.88761876019511","
,  
(40.84367257732565, -73.88761876019511)"
"60865946","2024-04-16T01:17:53.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Talking","Street/Sidewalk","10029","151 EAST   98 STREET","EAST   98 STREET","LEXINGTON AVENUE","3 AVENUE","LEXINGTON AVENUE","3 AVENUE","ADDRESS","NEW YORK","EAST   98 STREET",,"In Progress",,,"2024-04-16T02:04:13.000","11 MANHATTAN",,"MANHATTAN","998223","226000","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.7869829131703","-73.9495412081128","
,  
(40.7869829131703, -73.9495412081128)"
"60872744","2024-04-16T01:17:32.000",,"NYPD","New York City Police Department","Illegal Parking","Blocked Sidewalk","Street/Sidewalk","11103","25-26 41 STREET","41 STREET","25 AVENUE","28 AVENUE","25 AVENUE","28 AVENUE","ADDRESS","ASTORIA","41 STREET",,"In Progress",,,,"01 QUEENS","4006840055","QUEENS","1008843","218798","MOBILE","Unspecified","QUEENS",,,,,,,,"40.767192158040594","-73.9112170287116","
,  
(40.767192158040594, -73.9112170287116)"
"60881980","2024-04-16T01:17:26.000",,"NYPD","New York City Police Department","Noise - Residential","Banging/Pounding","Residential Building/House","10468","233 LANDING ROAD","LANDING ROAD","CEDAR AVENUE","MAJOR DEEGAN EXPRESSWAY","CEDAR AVENUE","MAJOR DEEGAN EXPRESSWAY","ADDRESS","BRONX","LANDING ROAD",,"In Progress",,,"2024-04-16T01:29:11.000","07 BRONX","2032367501","BRONX","1008841","253488","ONLINE","Unspecified","BRONX",,,,,,,,"40.86240645467484","-73.91109714827905","
,  
(40.86240645467484, -73.91109714827905)"
"60872737","2024-04-16T01:17:15.000",,"NYPD","New York City Police Department","Illegal Parking","Blocked Hydrant","Street/Sidewalk","10457","1707 TOPPING AVENUE","TOPPING AVENUE","EAST  173 STREET","EAST  174 STREET","EAST  173 STREET","EAST  174 STREET","ADDRESS","BRONX","TOPPING AVENUE",,"In Progress",,,"2024-04-16T02:00:25.000","04 BRONX","2027910044","BRONX","1010313","246927","MOBILE","Unspecified","BRONX",,,,,,,,"40.84439424893464","-73.90580099731008","
,  
(40.84439424893464, -73.90580099731008)"
"60879675","2024-04-16T01:16:09.000",,"NYPD","New York City Police Department","Noise - Commercial","Loud Music/Party","Store/Commercial","11220","6104 7 AVENUE","7 AVENUE","61 STREET","62 STREET","61 STREET","62 STREET","ADDRESS","BROOKLYN","7 AVENUE",,"In Progress",,,,"07 BROOKLYN","3057930040","BROOKLYN","980788","171043","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.6361494299749","-74.01247359045288","
,  
(40.6361494299749, -74.01247359045288)"
"60879697","2024-04-16T01:15:26.000",,"NYPD","New York City Police Department","Noise - Residential","Banging/Pounding","Residential Building/House","10024","117 WEST   90 STREET","WEST   90 STREET","COLUMBUS AVENUE","AMSTERDAM AVENUE","COLUMBUS AVENUE","AMSTERDAM AVENUE","ADDRESS","NEW YORK","WEST   90 STREET",,"In Progress",,,"2024-04-16T01:42:08.000","07 MANHATTAN","1012210007","MANHATTAN","992231","226888","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.78942767746302","-73.97117824440998","
,  
(40.78942767746302, -73.97117824440998)"
"60870513","2024-04-16T01:14:46.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Talking","Street/Sidewalk","11210","1350 NEW YORK AVENUE","NEW YORK AVENUE","NEWKIRK AVENUE","FOSTER AVENUE","NEWKIRK AVENUE","FOSTER AVENUE","ADDRESS","BROOKLYN","NEW YORK AVENUE",,"In Progress",,,"2024-04-16T01:52:12.000","17 BROOKLYN","3049640040","BROOKLYN","999372","172435","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.639957940304036","-73.94551230151636","
,  
(40.639957940304036, -73.94551230151636)"
"60870516","2024-04-16T01:14:46.000",,"NYPD","New York City Police Department","Noise - Vehicle","Car/Truck Music","Street/Sidewalk","11249","26 NORTH    3 STREET","NORTH    3 STREET","DEAD END","RIVER STREET","DEAD END","RIVER STREET","ADDRESS","BROOKLYN","NORTH    3 STREET",,"In Progress",,,"2024-04-16T01:25:47.000","01 BROOKLYN","3023550001","BROOKLYN","994025","201023","PHONE","Unspecified","BROOKLYN","Car",,,,,,,"40.718433026977536","-73.96473718077064","
,  
(40.718433026977536, -73.96473718077064)"
"60868181","2024-04-16T01:14:36.000",,"NYPD","New York City Police Department","Illegal Parking","Blocked Hydrant","Street/Sidewalk","10472","1440 BRONX RIVER AVENUE","BRONX RIVER AVENUE","EAST  174 STREET","CROSS BRONX EXPRESSWAY","EAST  174 STREET","CROSS BRONX EXPRESSWAY","ADDRESS","BRONX","BRONX RIVER AVENUE",,"In Progress",,,"2024-04-16T02:01:30.000","09 BRONX","2038860002","BRONX","1018017","243713","PHONE","Unspecified","BRONX",,,,,,,,"40.83554666365087","-73.87797279135413","
,  
(40.83554666365087, -73.87797279135413)"
"60872609","2024-04-16T01:14:29.000",,"NYPD","New York City Police Department","Animal-Abuse","Neglected","Residential Building/House","10466","4236 GUNTHER AVENUE","GUNTHER AVENUE","BUSSING AVENUE","PITMAN AVENUE","BUSSING AVENUE","PITMAN AVENUE","ADDRESS","BRONX","GUNTHER AVENUE",,"In Progress",,,,"12 BRONX","2050110044","BRONX","1025667","265391","ONLINE","Unspecified","BRONX",,,,,,,,"40.89501354683519","-73.85019328975237","
,  
(40.89501354683519, -73.85019328975237)"
"60873149","2024-04-16T01:14:19.000",,"DSNY","Department of Sanitation","Graffiti","Graffiti","Mixed Use","11238","824 WASHINGTON AVENUE","WASHINGTON AVENUE",,,,,"ADDRESS","BROOKLYN",,"N/A","Open","2024-05-16T01:14:19.000","The graffiti on this property has been scheduled to be removed by the City.","2024-04-16T01:14:19.000","08 BROOKLYN","3011760094","BROOKLYN","994538","184588","UNKNOWN","Unspecified","BROOKLYN",,,,,,,,"40.673322192135984","-73.96291166187203","
,  
(40.673322192135984, -73.96291166187203)"
"60870510","2024-04-16T01:13:51.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Talking","Street/Sidewalk","11226","260 PARKSIDE AVENUE","PARKSIDE AVENUE","FLATBUSH AVENUE","BEDFORD AVENUE","FLATBUSH AVENUE","BEDFORD AVENUE","ADDRESS","BROOKLYN","PARKSIDE AVENUE",,"In Progress",,,"2024-04-16T01:43:34.000","09 BROOKLYN","3050550014","BROOKLYN","995577","178158","MOBILE","Unspecified","BROOKLYN",,,,,,,,"40.655672001198894","-73.95917686020623","
,  
(40.655672001198894, -73.95917686020623)"
"60875502","2024-04-16T01:13:48.000",,"DSNY","Department of Sanitation","Graffiti","Graffiti","Mixed Use","11226","636 ROGERS AVENUE","ROGERS AVENUE",,,,,"ADDRESS","BROOKLYN",,"N/A","Open","2024-05-16T01:13:48.000","The graffiti on this property has been scheduled to be removed by the City.","2024-04-16T01:13:49.000","09 BROOKLYN","3050560047","BROOKLYN","997277","178262","UNKNOWN","Unspecified","BROOKLYN",,,,,,,,"40.65595512063973","-73.95304976558461","
,  
(40.65595512063973, -73.95304976558461)"
"60875164","2024-04-16T01:13:34.000",,"NYPD","New York City Police Department","Noise - Residential","Loud Talking","Residential Building/House","11106","32-20 32 STREET","32 STREET","BROADWAY","34 AVENUE","BROADWAY","34 AVENUE","ADDRESS","ASTORIA","32 STREET",,"In Progress",,,"2024-04-16T02:11:22.000","01 QUEENS","4006110144","QUEENS","1005054","216622","MOBILE","Unspecified","QUEENS",,,,,,,,"40.76122933026382","-73.92490239132327","
,  
(40.76122933026382, -73.92490239132327)"
"60877407","2024-04-16T01:13:23.000",,"NYPD","New York City Police Department","Noise - Vehicle","Car/Truck Music","Street/Sidewalk","11427","220-28 HILLSIDE AVENUE","HILLSIDE AVENUE","BRADDOCK AVENUE","MANOR ROAD","BRADDOCK AVENUE","MANOR ROAD","ADDRESS","QUEENS VILLAGE","HILLSIDE AVENUE",,"In Progress",,,,"13 QUEENS","4079450002","QUEENS","1055496","205663","MOBILE","Unspecified","QUEENS","Car",,,,,,,"40.730887164304264","-73.74293525281107","
,  
(40.730887164304264, -73.74293525281107)"
"60865874","2024-04-16T01:13:13.000",,"NYPD","New York City Police Department","Illegal Parking","Commercial Overnight Parking","Street/Sidewalk","11206","149 LORIMER STREET","LORIMER STREET","HARRISON AVENUE","THROOP AVENUE","HARRISON AVENUE","THROOP AVENUE","ADDRESS","BROOKLYN","LORIMER STREET",,"In Progress",,,"2024-04-16T02:07:14.000","01 BROOKLYN",,"BROOKLYN","998300","195467","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.70317737282791","-73.94932693134227","
,  
(40.70317737282791, -73.94932693134227)"
"60881981","2024-04-16T01:12:26.000",,"NYPD","New York City Police Department","Noise - Residential","Banging/Pounding","Residential Building/House","10001","177 WEST   26 STREET","WEST   26 STREET","AVENUE OF THE AMERICAS","7 AVENUE","AVENUE OF THE AMERICAS","7 AVENUE","ADDRESS","NEW YORK","WEST   26 STREET",,"In Progress",,,"2024-04-16T01:56:57.000","05 MANHATTAN","1008020001","MANHATTAN","986081","210935","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.74564424523685","-73.99339206220345","
,  
(40.74564424523685, -73.99339206220345)"
"60879513","2024-04-16T01:11:45.000",,"NYPD","New York City Police Department","Blocked Driveway","No Access","Street/Sidewalk","11420","120-01 111 AVENUE","111 AVENUE","120 STREET","121 STREET","120 STREET","121 STREET","ADDRESS","SOUTH OZONE PARK","111 AVENUE",,"In Progress",,,,"10 QUEENS","4116010043","QUEENS","1034087","187362","ONLINE","Unspecified","QUEENS",,,,,,,,"40.68080187760374","-73.82031686786587","
,  
(40.68080187760374, -73.82031686786587)"
"60875166","2024-04-16T01:11:15.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Talking","Street/Sidewalk","10016","229 EAST   28 STREET","EAST   28 STREET","3 AVENUE","2 AVENUE","3 AVENUE","2 AVENUE","ADDRESS","NEW YORK","EAST   28 STREET",,"In Progress",,,"2024-04-16T01:43:27.000","06 MANHATTAN","1009090015","MANHATTAN","989855","209434","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.74152278858926","-73.97977323838715","
,  
(40.74152278858926, -73.97977323838715)"
"60872541","2024-04-16T01:10:52.000",,"DOT","Department of Transportation","Street Condition","Pothole",,"11234","AVENUE L","AVENUE L","EAST   46 STREET","SCHENECTADY AVENUE",,,"BLOCKFACE","BROOKLYN",,"N/A","Open",,"The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.","2024-04-16T01:10:52.000","18 BROOKLYN",,"BROOKLYN",,,"UNKNOWN","Unspecified","BROOKLYN",,,,,,,,,,
"60879664","2024-04-16T01:10:39.000",,"DPR","Department of Parks and Recreation","Maintenance or Facility","Garbage or Litter","Park","11235","BRIGHTON   14 STREET","BRIGHTON   14 STREET","BRIGHTON   14 STREET","CORBIN PLACE","BRIGHTON   14 STREET","CORBIN PLACE","INTERSECTION",,,,"In Progress",,,,"13 BROOKLYN",,"BROOKLYN","996906","150444","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.57960103783949","-73.95443902182905","
,  
(40.57960103783949, -73.95443902182905)"
"60874858","2024-04-16T01:09:37.000",,"DOT","Department of Transportation","Street Condition","Pothole",,"11234",,,,,"EAST 56 STREET","FILLMORE AVENUE","INTERSECTION","BROOKLYN",,"N/A","Open",,"The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.","2024-04-16T01:09:37.000","18 BROOKLYN",,"BROOKLYN","1006288","163289","UNKNOWN","Unspecified","BROOKLYN",,,,,,,,"40.61483959620675","-73.92062239501132","
,  
(40.61483959620675, -73.92062239501132)"
"60865950","2024-04-16T01:09:26.000",,"DOT","Department of Transportation","Sidewalk Condition","Broken Sidewalk","Sidewalk","11204","2126 58 STREET","58 STREET","21 AVENUE","DEAD END","21 AVENUE","DEAD END","ADDRESS","BROOKLYN","58 STREET",,"In Progress",,,,"12 BROOKLYN","3055087502","BROOKLYN","990133","164708","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.61875991081213","-73.97880906537759","
,  
(40.61875991081213, -73.97880906537759)"
"60867962","2024-04-16T01:09:21.000",,"DOT","Department of Transportation","Street Condition","Pothole",,"11234",,,,,"AVENUE L","UTICA AVENUE","INTERSECTION","BROOKLYN",,"N/A","Open",,"The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.","2024-04-16T01:09:21.000","18 BROOKLYN",,"BROOKLYN","1004412","166465","UNKNOWN","Unspecified","BROOKLYN",,,,,,,,"40.623561520241374","-73.92736998044037","
,  
(40.623561520241374, -73.92736998044037)"
"60877408","2024-04-16T01:09:08.000",,"NYPD","New York City Police Department","Noise - Vehicle","Car/Truck Music","Street/Sidewalk","10458","2645 BRIGGS AVENUE","BRIGGS AVENUE","EAST  194 STREET","EAST  196 STREET","EAST  194 STREET","EAST  196 STREET","ADDRESS","BRONX","BRIGGS AVENUE",,"In Progress",,,"2024-04-16T01:28:58.000","07 BRONX","2033000001","BRONX","1013985","254569","MOBILE","Unspecified","BRONX","Car",,,,,,,"40.86535764249122","-73.892495473103","
,  
(40.86535764249122, -73.892495473103)"
"60870257","2024-04-16T01:08:50.000",,"DOT","Department of Transportation","Street Condition","Pothole",,"11225","BEDFORD AVENUE","BEDFORD AVENUE","HAWTHORNE STREET","WINTHROP STREET",,,"BLOCKFACE","BROOKLYN",,"N/A","Open",,"The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.","2024-04-16T01:08:50.000","09 BROOKLYN",,"BROOKLYN",,,"UNKNOWN","Unspecified","BROOKLYN",,,,,,,,,,
"60879428","2024-04-16T01:08:31.000",,"DOT","Department of Transportation","Street Condition","Pothole",,"11226","BEDFORD AVENUE","BEDFORD AVENUE","CATON AVENUE","LENOX ROAD",,,"BLOCKFACE","BROOKLYN",,"N/A","Open",,"The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.","2024-04-16T01:08:31.000","17 BROOKLYN",,"BROOKLYN",,,"UNKNOWN","Unspecified","BROOKLYN",,,,,,,,,,
"60877190","2024-04-16T01:08:31.000",,"NYPD","New York City Police Department","Blocked Driveway","No Access","Street/Sidewalk","11235","116 BEAUMONT STREET","BEAUMONT STREET","HAMPTON AVENUE","ORIENTAL BOULEVARD","HAMPTON AVENUE","ORIENTAL BOULEVARD","ADDRESS","BROOKLYN","BEAUMONT STREET",,"In Progress",,,"2024-04-16T01:24:41.000","15 BROOKLYN","3087330051","BROOKLYN","997766","150174","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.578858671732455","-73.95134360459578","
,  
(40.578858671732455, -73.95134360459578)"
"60870509","2024-04-16T01:08:27.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Talking","Street/Sidewalk","10029","EAST   98 STREET","EAST   98 STREET","LEXINGTON AVENUE","3 AVENUE","LEXINGTON AVENUE","3 AVENUE","BLOCKFACE",,,,"In Progress",,,,"Unspecified MANHATTAN",,"MANHATTAN",,,"PHONE","Unspecified","MANHATTAN",,,,,,,,,,
"60865935","2024-04-16T01:08:13.000",,"NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","11106","21-40 35 AVENUE","35 AVENUE","21 STREET","24 STREET","21 STREET","24 STREET","ADDRESS","ASTORIA","35 AVENUE",,"In Progress",,,"2024-04-16T01:55:37.000","01 QUEENS","4003350002","QUEENS","1002389","216515","MOBILE","Unspecified","QUEENS",,,,,,,,"40.76094151212885","-73.93452270729341","
,  
(40.76094151212885, -73.93452270729341)"
"60879429","2024-04-16T01:08:00.000",,"DOT","Department of Transportation","Street Condition","Pothole",,"11226","BEDFORD AVENUE","BEDFORD AVENUE","CATON AVENUE","MARTENSE STREET",,,"BLOCKFACE","BROOKLYN",,"N/A","Open",,"The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.","2024-04-16T01:08:00.000","17 BROOKLYN",,"BROOKLYN",,,"UNKNOWN","Unspecified","BROOKLYN",,,,,,,,,,
"60879732","2024-04-16T01:07:48.000",,"DOT","Department of Transportation","Street Condition","Defective Hardware","Street","11434","150-63 116 AVENUE","116 AVENUE","SUTPHIN BOULEVARD","155 STREET","SUTPHIN BOULEVARD","155 STREET","ADDRESS","JAMAICA","116 AVENUE",,"In Progress",,,,"12 QUEENS","4121920058","QUEENS","1041886","188096","PHONE","Unspecified","QUEENS",,,,,,,,"40.682769189466754","-73.79219204648486","
,  
(40.682769189466754, -73.79219204648486)"
