agency_name,complaint_type,descriptor,location_type,incident_zip,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,facility_type,status,resolution_description,community_board,bbl,borough,open_data_channel_type,park_facility_name,park_borough,vehicle_type,taxi_company_borough,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,progress_duration,created_year,resolution_action_updated_year
New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11103,41 STREET,25 AVENUE,28 AVENUE,25 AVENUE,28 AVENUE,ADDRESS,ASTORIA,41 STREET,,In Progress,,01 QUEENS,11103,QUEENS,MOBILE,,QUEENS,,,,,,,,Ongoing,2024,
New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10468,LANDING ROAD,CEDAR AVENUE,MAJOR DEEGAN EXPRESSWAY,CEDAR AVENUE,MAJOR DEEGAN EXPRESSWAY,ADDRESS,BRONX,LANDING ROAD,,In Progress,,07 BRONX,10468,BRONX,ONLINE,,BRONX,,,,,,,,Less than a day,2024,2024
New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10457,TOPPING AVENUE,EAST  173 STREET,EAST  174 STREET,EAST  173 STREET,EAST  174 STREET,ADDRESS,BRONX,TOPPING AVENUE,,In Progress,,04 BRONX,10457,BRONX,MOBILE,,BRONX,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11220,7 AVENUE,61 STREET,62 STREET,61 STREET,62 STREET,ADDRESS,BROOKLYN,7 AVENUE,,In Progress,,07 BROOKLYN,11220,BROOKLYN,ONLINE,,BROOKLYN,,,,,,,,Ongoing,2024,
New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10024,WEST   90 STREET,COLUMBUS AVENUE,AMSTERDAM AVENUE,COLUMBUS AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,WEST   90 STREET,,In Progress,,07 MANHATTAN,10024,MANHATTAN,PHONE,,MANHATTAN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11210,NEW YORK AVENUE,NEWKIRK AVENUE,FOSTER AVENUE,NEWKIRK AVENUE,FOSTER AVENUE,ADDRESS,BROOKLYN,NEW YORK AVENUE,,In Progress,,17 BROOKLYN,11210,BROOKLYN,PHONE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11249,NORTH    3 STREET,DEAD END,RIVER STREET,DEAD END,RIVER STREET,ADDRESS,BROOKLYN,NORTH    3 STREET,,In Progress,,01 BROOKLYN,11249,BROOKLYN,PHONE,,BROOKLYN,Car,,,,,,,Less than a day,2024,2024
New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10472,BRONX RIVER AVENUE,EAST  174 STREET,CROSS BRONX EXPRESSWAY,EAST  174 STREET,CROSS BRONX EXPRESSWAY,ADDRESS,BRONX,BRONX RIVER AVENUE,,In Progress,,09 BRONX,10472,BRONX,PHONE,,BRONX,,,,,,,,Less than a day,2024,2024
New York City Police Department,Animal-Abuse,Neglected,Residential Building/House,10466,GUNTHER AVENUE,BUSSING AVENUE,PITMAN AVENUE,BUSSING AVENUE,PITMAN AVENUE,ADDRESS,BRONX,GUNTHER AVENUE,,In Progress,,12 BRONX,10466,BRONX,ONLINE,,BRONX,,,,,,,,Ongoing,2024,
Department of Sanitation,Graffiti,Graffiti,Mixed Use,11238,WASHINGTON AVENUE,,,,,ADDRESS,BROOKLYN,,,Open,The graffiti on this property has been scheduled to be removed by the City.,08 BROOKLYN,11238,BROOKLYN,,,BROOKLYN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11226,PARKSIDE AVENUE,FLATBUSH AVENUE,BEDFORD AVENUE,FLATBUSH AVENUE,BEDFORD AVENUE,ADDRESS,BROOKLYN,PARKSIDE AVENUE,,In Progress,,09 BROOKLYN,11226,BROOKLYN,MOBILE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Sanitation,Graffiti,Graffiti,Mixed Use,11226,ROGERS AVENUE,,,,,ADDRESS,BROOKLYN,,,Open,The graffiti on this property has been scheduled to be removed by the City.,09 BROOKLYN,11226,BROOKLYN,,,BROOKLYN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11106,32 STREET,BROADWAY,34 AVENUE,BROADWAY,34 AVENUE,ADDRESS,ASTORIA,32 STREET,,In Progress,,01 QUEENS,11106,QUEENS,MOBILE,,QUEENS,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11427,HILLSIDE AVENUE,BRADDOCK AVENUE,MANOR ROAD,BRADDOCK AVENUE,MANOR ROAD,ADDRESS,QUEENS VILLAGE,HILLSIDE AVENUE,,In Progress,,13 QUEENS,11427,QUEENS,MOBILE,,QUEENS,Car,,,,,,,Ongoing,2024,
New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11206,LORIMER STREET,HARRISON AVENUE,THROOP AVENUE,HARRISON AVENUE,THROOP AVENUE,ADDRESS,BROOKLYN,LORIMER STREET,,In Progress,,01 BROOKLYN,11206,BROOKLYN,PHONE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10001,WEST   26 STREET,AVENUE OF THE AMERICAS,7 AVENUE,AVENUE OF THE AMERICAS,7 AVENUE,ADDRESS,NEW YORK,WEST   26 STREET,,In Progress,,05 MANHATTAN,10001,MANHATTAN,PHONE,,MANHATTAN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11420,111 AVENUE,120 STREET,121 STREET,120 STREET,121 STREET,ADDRESS,SOUTH OZONE PARK,111 AVENUE,,In Progress,,10 QUEENS,11420,QUEENS,ONLINE,,QUEENS,,,,,,,,Ongoing,2024,
New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10016,EAST   28 STREET,3 AVENUE,2 AVENUE,3 AVENUE,2 AVENUE,ADDRESS,NEW YORK,EAST   28 STREET,,In Progress,,06 MANHATTAN,10016,MANHATTAN,PHONE,,MANHATTAN,,,,,,,,Less than a day,2024,2024
Department of Transportation,Street Condition,Pothole,,11234,AVENUE L,EAST   46 STREET,SCHENECTADY AVENUE,,,BLOCKFACE,BROOKLYN,,,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,18 BROOKLYN,11234,BROOKLYN,,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Parks and Recreation,Maintenance or Facility,Garbage or Litter,Park,11235,BRIGHTON   14 STREET,BRIGHTON   14 STREET,CORBIN PLACE,BRIGHTON   14 STREET,CORBIN PLACE,INTERSECTION,,,,In Progress,,13 BROOKLYN,11235,BROOKLYN,PHONE,,BROOKLYN,,,,,,,,Ongoing,2024,
Department of Transportation,Street Condition,Pothole,,11234,,,,EAST 56 STREET,FILLMORE AVENUE,INTERSECTION,BROOKLYN,,,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,18 BROOKLYN,11234,BROOKLYN,,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Transportation,Sidewalk Condition,Broken Sidewalk,Sidewalk,11204,58 STREET,21 AVENUE,DEAD END,21 AVENUE,DEAD END,ADDRESS,BROOKLYN,58 STREET,,In Progress,,12 BROOKLYN,11204,BROOKLYN,ONLINE,,BROOKLYN,,,,,,,,Ongoing,2024,
Department of Transportation,Street Condition,Pothole,,11234,,,,AVENUE L,UTICA AVENUE,INTERSECTION,BROOKLYN,,,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,18 BROOKLYN,11234,BROOKLYN,,,BROOKLYN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10458,BRIGGS AVENUE,EAST  194 STREET,EAST  196 STREET,EAST  194 STREET,EAST  196 STREET,ADDRESS,BRONX,BRIGGS AVENUE,,In Progress,,07 BRONX,10458,BRONX,MOBILE,,BRONX,Car,,,,,,,Less than a day,2024,2024
Department of Transportation,Street Condition,Pothole,,11225,BEDFORD AVENUE,HAWTHORNE STREET,WINTHROP STREET,,,BLOCKFACE,BROOKLYN,,,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,09 BROOKLYN,11225,BROOKLYN,,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Transportation,Street Condition,Pothole,,11226,BEDFORD AVENUE,CATON AVENUE,LENOX ROAD,,,BLOCKFACE,BROOKLYN,,,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,17 BROOKLYN,11226,BROOKLYN,,,BROOKLYN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11235,BEAUMONT STREET,HAMPTON AVENUE,ORIENTAL BOULEVARD,HAMPTON AVENUE,ORIENTAL BOULEVARD,ADDRESS,BROOKLYN,BEAUMONT STREET,,In Progress,,15 BROOKLYN,11235,BROOKLYN,PHONE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10029,EAST   98 STREET,LEXINGTON AVENUE,3 AVENUE,LEXINGTON AVENUE,3 AVENUE,BLOCKFACE,,,,In Progress,,Unspecified MANHATTAN,10029,MANHATTAN,PHONE,,MANHATTAN,,,,,,,,Ongoing,2024,
New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11106,35 AVENUE,21 STREET,24 STREET,21 STREET,24 STREET,ADDRESS,ASTORIA,35 AVENUE,,In Progress,,01 QUEENS,11106,QUEENS,MOBILE,,QUEENS,,,,,,,,Less than a day,2024,2024
Department of Transportation,Street Condition,Pothole,,11226,BEDFORD AVENUE,CATON AVENUE,MARTENSE STREET,,,BLOCKFACE,BROOKLYN,,,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,17 BROOKLYN,11226,BROOKLYN,,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Transportation,Street Condition,Defective Hardware,Street,11434,116 AVENUE,SUTPHIN BOULEVARD,155 STREET,SUTPHIN BOULEVARD,155 STREET,ADDRESS,JAMAICA,116 AVENUE,,In Progress,,12 QUEENS,11434,QUEENS,PHONE,,QUEENS,,,,,,,,Ongoing,2024,
Department of Transportation,Street Condition,Pothole,,11226,BEDFORD AVENUE,ALBEMARLE ROAD,TILDEN AVENUE,,,BLOCKFACE,BROOKLYN,,,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,17 BROOKLYN,11226,BROOKLYN,,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Transportation,Street Condition,Pothole,,11201,SMITH STREET,FULTON STREET,LIVINGSTON STREET,,,BLOCKFACE,BROOKLYN,,,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,02 BROOKLYN,11201,BROOKLYN,,,BROOKLYN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11436,133 AVENUE,144 STREET,145 STREET,144 STREET,145 STREET,ADDRESS,JAMAICA,133 AVENUE,,In Progress,,12 QUEENS,11436,QUEENS,ONLINE,,QUEENS,,,,,,,,Less than a day,2024,2024
Department of Transportation,Street Condition,Pothole,,11234,EAST   67 STREET,AVENUE T,AVENUE U,,,BLOCKFACE,BROOKLYN,,,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,18 BROOKLYN,11234,BROOKLYN,,,BROOKLYN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11208,MONTAUK AVENUE,BELMONT AVENUE,SUTTER AVENUE,BELMONT AVENUE,SUTTER AVENUE,ADDRESS,BROOKLYN,MONTAUK AVENUE,,Closed,The Police Department reviewed your complaint and provided additional information below.,05 BROOKLYN,11208,BROOKLYN,ONLINE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10309,RATHBUN AVENUE,MARCY AVENUE,VERNON AVENUE,MARCY AVENUE,VERNON AVENUE,ADDRESS,STATEN ISLAND,RATHBUN AVENUE,,In Progress,,03 STATEN ISLAND,10309,STATEN ISLAND,PHONE,,STATEN ISLAND,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10026,8 AVENUE,WEST  112 STREET,WEST  113 STREET,WEST  112 STREET,WEST  113 STREET,ADDRESS,NEW YORK,8 AVENUE,,In Progress,Your complaint has been received by the Police Department and additional information will be available later.,10 MANHATTAN,10026,MANHATTAN,ONLINE,,MANHATTAN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11375,65 ROAD,YELLOWSTONE BOULEVARD,108 STREET,YELLOWSTONE BOULEVARD,108 STREET,ADDRESS,FOREST HILLS,65 ROAD,,In Progress,,06 QUEENS,11375,QUEENS,PHONE,,QUEENS,,,,,,,,Less than a day,2024,2024
Department of Sanitation,Abandoned Bike,Chained to Public Property,Street,10452,WEST  163 STREET,WOODYCREST AVENUE,OGDEN AVENUE,WOODYCREST AVENUE,OGDEN AVENUE,ADDRESS,BRONX,WEST  163 STREET,,In Progress,,04 BRONX,10452,BRONX,PHONE,,BRONX,,,,,,,,Ongoing,2024,
New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11436,133 AVENUE,144 STREET,145 STREET,144 STREET,145 STREET,ADDRESS,JAMAICA,133 AVENUE,,In Progress,,12 QUEENS,11436,QUEENS,ONLINE,,QUEENS,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11213,PRESIDENT STREET,ALBANY AVENUE,TROY AVENUE,ALBANY AVENUE,TROY AVENUE,ADDRESS,BROOKLYN,PRESIDENT STREET,,Closed,The Police Department responded to the complaint and took action to fix the condition.,09 BROOKLYN,11213,BROOKLYN,MOBILE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10314,TREMONT AVENUE,WATCHOGUE ROAD,CASWELL AVENUE,WATCHOGUE ROAD,CASWELL AVENUE,ADDRESS,STATEN ISLAND,TREMONT AVENUE,,In Progress,,01 STATEN ISLAND,10314,STATEN ISLAND,PHONE,,STATEN ISLAND,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11209,76 STREET,3 AVENUE,4 AVENUE,3 AVENUE,4 AVENUE,ADDRESS,BROOKLYN,76 STREET,,In Progress,,10 BROOKLYN,11209,BROOKLYN,PHONE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Commercial,Car/Truck Music,Store/Commercial,10314,VICTORY BOULEVARD,CLERMONT PLACE,QUINLAN AVENUE,CLERMONT PLACE,QUINLAN AVENUE,ADDRESS,STATEN ISLAND,VICTORY BOULEVARD,,In Progress,Your complaint has been received by the Police Department and additional information will be available later.,01 STATEN ISLAND,10314,STATEN ISLAND,MOBILE,,STATEN ISLAND,,,,,,,,Less than a day,2024,2024
Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,10452,WEST  164 STREET,WOODYCREST AVENUE,NELSON AVENUE,WOODYCREST AVENUE,NELSON AVENUE,ADDRESS,BRONX,WEST  164 STREET,,In Progress,,04 BRONX,10452,BRONX,PHONE,,BRONX,,,,,,,,Ongoing,2024,
New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10027,CONVENT AVENUE,WEST  128 STREET,WEST  129 STREET,WEST  128 STREET,WEST  129 STREET,ADDRESS,NEW YORK,CONVENT AVENUE,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09 MANHATTAN,10027,MANHATTAN,MOBILE,,MANHATTAN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10039,WEST  153 STREET,ADAM CLAYTON POWELL JR BOULEVARD,DEAD END,ADAM CLAYTON POWELL JR BOULEVARD,DEAD END,ADDRESS,NEW YORK,WEST  153 STREET,,In Progress,,10 MANHATTAN,10039,MANHATTAN,PHONE,,MANHATTAN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,11204,21 AVENUE,60 STREET,61 STREET,60 STREET,61 STREET,ADDRESS,BROOKLYN,21 AVENUE,,In Progress,,12 BROOKLYN,11204,BROOKLYN,MOBILE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10452,GRAND CONCOURSE,EAST  170 STREET,EAST  171 STREET,EAST  170 STREET,EAST  171 STREET,ADDRESS,BRONX,GRAND CONCOURSE,,In Progress,,04 BRONX,10452,BRONX,ONLINE,,BRONX,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10469,WILLIAMSBRIDGE ROAD,WARING AVENUE,HONE AVENUE,WARING AVENUE,HONE AVENUE,ADDRESS,BRONX,WILLIAMSBRIDGE ROAD,,In Progress,,11 BRONX,10469,BRONX,PHONE,,BRONX,,,,,,,,Less than a day,2024,2024
New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11436,143 STREET,129 AVENUE,130 AVENUE,129 AVENUE,130 AVENUE,ADDRESS,JAMAICA,143 STREET,,In Progress,,12 QUEENS,11436,QUEENS,ONLINE,,QUEENS,,,,,,,,Ongoing,2024,
Department of Sanitation,Illegal Dumping,Removal Request,Street,10452,WEST  164 STREET,OGDEN AVENUE,SUMMIT AVENUE,OGDEN AVENUE,SUMMIT AVENUE,ADDRESS,BRONX,WEST  164 STREET,,In Progress,,04 BRONX,10452,BRONX,PHONE,,BRONX,,,,,,,,Ongoing,2024,
New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11360,16 AVENUE,16 AVENUE,215 STREET,16 AVENUE,215 STREET,INTERSECTION,,,,In Progress,,07 QUEENS,11360,QUEENS,PHONE,,QUEENS,,,,,,,,Less than a day,2024,2024
Taxi and Limousine Commission,Taxi Report,Driver Report - Passenger,,11369,LGA,94 STREET,GRAND CENTRAL PARKWAY ET    7 EB,94 STREET,GRAND CENTRAL PARKWAY ET    7 EB,UNRECOGNIZED,EAST ELMHURST,LA GUARDIA AIRPORT,,In Progress,,80 QUEENS,11369,QUEENS,PHONE,,QUEENS,,,"LA GUARDIA AIRPORT, QUEENS (EAST ELMHURST) ,NY, 11369",,,,,Ongoing,2024,
New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11434,116 AVENUE,SUTPHIN BOULEVARD,155 STREET,SUTPHIN BOULEVARD,155 STREET,ADDRESS,JAMAICA,116 AVENUE,,In Progress,,12 QUEENS,11434,QUEENS,PHONE,,QUEENS,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10128,EAST   90 STREET,2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,ADDRESS,NEW YORK,EAST   90 STREET,,In Progress,,08 MANHATTAN,10128,MANHATTAN,PHONE,,MANHATTAN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,11220,52 STREET,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,ADDRESS,BROOKLYN,52 STREET,,In Progress,,12 BROOKLYN,11220,BROOKLYN,PHONE,,BROOKLYN,Car,,,,,,,Less than a day,2024,2024
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11420,LEFFERTS BOULEVARD,111 AVENUE,LINDEN BOULEVARD,111 AVENUE,LINDEN BOULEVARD,ADDRESS,SOUTH OZONE PARK,LEFFERTS BOULEVARD,,In Progress,,10 QUEENS,11420,QUEENS,PHONE,,QUEENS,,,,,,,,Ongoing,2024,
New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11237,STARR STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,WILSON AVENUE,KNICKERBOCKER AVENUE,ADDRESS,BROOKLYN,STARR STREET,,In Progress,,04 BROOKLYN,11237,BROOKLYN,PHONE,,BROOKLYN,Van,,,,,,,Less than a day,2024,2024
